<Ewe/V>	I/mA	Ns	time/s	
1.4127334E+000	3.5163975E+001	6	08/31/2025 13:48:18.3404
1.4127063E+000	3.5221260E+001	6	08/31/2025 13:48:18.4404
1.4127072E+000	3.5284908E+001	6	08/31/2025 13:48:18.5404
1.4127135E+000	3.5227623E+001	6	08/31/2025 13:48:18.6404
1.4127206E+000	3.5253086E+001	6	08/31/2025 13:48:18.7404
1.4127269E+000	3.5227623E+001	6	08/31/2025 13:48:18.8404
1.4127290E+000	3.5233990E+001	6	08/31/2025 13:48:18.9404
1.4127393E+000	3.5214893E+001	6	08/31/2025 13:48:19.0404
1.4127448E+000	3.5240353E+001	6	08/31/2025 13:48:19.1404
1.4127500E+000	3.5157612E+001	6	08/31/2025 13:48:19.2404
1.4127526E+000	3.5240353E+001	6	08/31/2025 13:48:19.3404
1.4127650E+000	3.5291271E+001	6	08/31/2025 13:48:19.4404
1.4127702E+000	3.5183071E+001	6	08/31/2025 13:48:19.5404
1.4127825E+000	3.5297634E+001	6	08/31/2025 13:48:19.6404
1.4127803E+000	3.5227623E+001	6	08/31/2025 13:48:19.7404
1.4127895E+000	3.5202168E+001	6	08/31/2025 13:48:19.8404
1.4127967E+000	3.5163975E+001	6	08/31/2025 13:48:19.9404
1.4128052E+000	3.5208534E+001	6	08/31/2025 13:48:20.0404
1.4128095E+000	3.5265816E+001	6	08/31/2025 13:48:20.1404
1.4128183E+000	3.5138519E+001	6	08/31/2025 13:48:20.2404
1.4128255E+000	3.5240353E+001	6	08/31/2025 13:48:20.3404
1.4127889E+000	3.5208534E+001	6	08/31/2025 13:48:20.4404
1.4127614E+000	3.5176708E+001	6	08/31/2025 13:48:20.5404
1.4127702E+000	3.5278545E+001	6	08/31/2025 13:48:20.6404
1.4127722E+000	3.5240353E+001	6	08/31/2025 13:48:20.7404
1.4127816E+000	3.5202168E+001	6	08/31/2025 13:48:20.8404
1.4127860E+000	3.5151249E+001	6	08/31/2025 13:48:20.9404
1.4127945E+000	3.5227623E+001	6	08/31/2025 13:48:21.0404
1.4127984E+000	3.5176708E+001	6	08/31/2025 13:48:21.1404
1.4128063E+000	3.5278545E+001	6	08/31/2025 13:48:21.2404
1.4128082E+000	3.5221260E+001	6	08/31/2025 13:48:21.3404
1.4128169E+000	3.5342190E+001	6	08/31/2025 13:48:21.4404
1.4128311E+000	3.5291271E+001	6	08/31/2025 13:48:21.5404
1.4128276E+000	3.5138519E+001	6	08/31/2025 13:48:21.6404
1.4128369E+000	3.5221260E+001	6	08/31/2025 13:48:21.7404
1.4128400E+000	3.5183071E+001	6	08/31/2025 13:48:21.8404
1.4128523E+000	3.5157612E+001	6	08/31/2025 13:48:21.9404
1.4128606E+000	3.5240353E+001	6	08/31/2025 13:48:22.0404
1.4128693E+000	3.5297634E+001	6	08/31/2025 13:48:22.1404
1.4128733E+000	3.5284908E+001	6	08/31/2025 13:48:22.2404
1.4128789E+000	3.5240353E+001	6	08/31/2025 13:48:22.3404
1.4128751E+000	3.5221260E+001	6	08/31/2025 13:48:22.4404
1.4128227E+000	3.5233990E+001	6	08/31/2025 13:48:22.5404
1.4127361E+000	3.5284908E+001	6	08/31/2025 13:48:22.6404
1.4127319E+000	3.5259449E+001	6	08/31/2025 13:48:22.7404
1.4127412E+000	3.5202168E+001	6	08/31/2025 13:48:22.8404
1.4127461E+000	3.5176708E+001	6	08/31/2025 13:48:22.9404
1.4127506E+000	3.5304001E+001	6	08/31/2025 13:48:23.0404
1.4127544E+000	3.5183071E+001	6	08/31/2025 13:48:23.1404
1.4127651E+000	3.5259449E+001	6	08/31/2025 13:48:23.2404
1.4127725E+000	3.5233990E+001	6	08/31/2025 13:48:23.3404
1.4127775E+000	3.5208534E+001	6	08/31/2025 13:48:23.4404
1.4127835E+000	3.5284908E+001	6	08/31/2025 13:48:23.5404
1.4127905E+000	3.5253086E+001	6	08/31/2025 13:48:23.6404
1.4128022E+000	3.5208534E+001	6	08/31/2025 13:48:23.7404
1.4128010E+000	3.5272179E+001	6	08/31/2025 13:48:23.8404
1.4127386E+000	3.5310368E+001	6	08/31/2025 13:48:23.9404
1.4127313E+000	3.5278545E+001	6	08/31/2025 13:48:24.0404
1.4127427E+000	3.5189438E+001	6	08/31/2025 13:48:24.1404
1.4127442E+000	3.5189438E+001	6	08/31/2025 13:48:24.2404
1.4127511E+000	3.5202168E+001	6	08/31/2025 13:48:24.3404
1.4127519E+000	3.5157612E+001	6	08/31/2025 13:48:24.4404
1.4127655E+000	3.5214893E+001	6	08/31/2025 13:48:24.5404
1.4127690E+000	3.5246719E+001	6	08/31/2025 13:48:24.6404
1.4127816E+000	3.5202168E+001	6	08/31/2025 13:48:24.7404
1.4127886E+000	3.5183071E+001	6	08/31/2025 13:48:24.8404
1.4127941E+000	3.5233990E+001	6	08/31/2025 13:48:24.9404
1.4128014E+000	3.5227623E+001	6	08/31/2025 13:48:25.0404
1.4128063E+000	3.5291271E+001	6	08/31/2025 13:48:25.1404
1.4128128E+000	3.5259449E+001	6	08/31/2025 13:48:25.2404
1.4128221E+000	3.5151249E+001	6	08/31/2025 13:48:25.3404
